PKTESTK6,Time,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback,,RHOPK5, ,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback
gen=303,(s),(/sec),,(MW),(MW-s),,,($),,,(s),(/sec),,(MW),(MW-s),,,($)
,2.70E-06,4.32E+11,1.03E+06,1.26E-05,3.05E-11,8.64E-04,0.00E+00,0.00E+00,,,2.70E-06,4.29E+11,1.02E+06,1.25E-05,3.04E-11,7.32E-04,0.00E+00,0.00E+00
,2.80E-06,4.35E+11,1.07E+06,1.27E-05,3.18E-11,9.06E-04,0.00E+00,0.00E+00,,,2.80E-06,4.32E+11,1.07E+06,1.26E-05,3.16E-11,7.64E-04,0.00E+00,0.00E+00
,2.90E-06,4.38E+11,1.12E+06,1.28E-05,3.30E-11,9.49E-04,0.00E+00,0.00E+00,,,2.90E-06,4.35E+11,1.11E+06,1.27E-05,3.29E-11,7.96E-04,0.00E+00,0.00E+00
,3.00E-06,4.42E+11,1.16E+06,1.29E-05,3.43E-11,9.92E-04,0.00E+00,0.00E+00,,,3.00E-06,4.38E+11,1.15E+06,1.28E-05,3.42E-11,8.28E-04,0.00E+00,0.00E+00
,3.10E-06,4.45E+11,1.20E+06,1.30E-05,3.56E-11,1.03E-03,0.00E+00,0.00E+00,,,3.10E-06,4.41E+11,1.20E+06,1.29E-05,3.55E-11,8.60E-04,0.00E+00,0.00E+00
,3.20E-06,4.48E+11,1.25E+06,1.31E-05,3.69E-11,1.08E-03,0.00E+00,0.00E+00,,,3.20E-06,4.45E+11,1.24E+06,1.30E-05,3.67E-11,8.92E-04,0.00E+00,0.00E+00
,3.30E-06,4.51E+11,1.29E+06,1.32E-05,3.82E-11,1.12E-03,0.00E+00,0.00E+00,,,3.30E-06,4.48E+11,1.29E+06,1.31E-05,3.80E-11,9.25E-04,0.00E+00,0.00E+00
,3.40E-06,4.55E+11,1.34E+06,1.33E-05,3.95E-11,1.17E-03,0.00E+00,0.00E+00,,,3.40E-06,4.51E+11,1.33E+06,1.32E-05,3.94E-11,9.57E-04,0.00E+00,0.00E+00
,3.50E-06,4.58E+11,1.38E+06,1.34E-05,4.09E-11,1.21E-03,0.00E+00,0.00E+00,,,3.50E-06,4.54E+11,1.38E+06,1.32E-05,4.07E-11,9.90E-04,0.00E+00,0.00E+00
,3.60E-06,4.61E+11,1.43E+06,1.34E-05,4.22E-11,1.26E-03,0.00E+00,0.00E+00,,,3.60E-06,4.57E+11,1.42E+06,1.33E-05,4.20E-11,1.02E-03,0.00E+00,0.00E+00
,3.70E-06,4.65E+11,1.48E+06,1.35E-05,4.36E-11,1.30E-03,0.00E+00,0.00E+00,,,3.70E-06,4.61E+11,1.47E+06,1.34E-05,4.33E-11,1.06E-03,0.00E+00,0.00E+00
,3.80E-06,4.68E+11,1.52E+06,1.36E-05,4.49E-11,1.35E-03,0.00E+00,0.00E+00,,,3.80E-06,4.64E+11,1.52E+06,1.35E-05,4.47E-11,1.09E-03,0.00E+00,0.00E+00
,3.90E-06,4.71E+11,1.57E+06,1.37E-05,4.63E-11,1.40E-03,0.00E+00,0.00E+00,,,3.90E-06,4.67E+11,1.56E+06,1.36E-05,4.60E-11,1.12E-03,0.00E+00,0.00E+00
,4.00E-06,4.74E+11,1.62E+06,1.38E-05,4.77E-11,1.44E-03,0.00E+00,0.00E+00,,,4.00E-06,4.70E+11,1.61E+06,1.37E-05,4.74E-11,1.16E-03,0.00E+00,0.00E+00
,4.10E-06,4.78E+11,1.67E+06,1.39E-05,4.91E-11,1.49E-03,0.00E+00,0.00E+00,,,4.10E-06,4.73E+11,1.66E+06,1.38E-05,4.88E-11,1.19E-03,0.00E+00,0.00E+00
,4.20E-06,4.81E+11,1.71E+06,1.40E-05,5.05E-11,1.54E-03,0.00E+00,0.00E+00,,,4.20E-06,4.76E+11,1.70E+06,1.39E-05,5.02E-11,1.23E-03,0.00E+00,0.00E+00
,4.30E-06,4.84E+11,1.76E+06,1.41E-05,5.19E-11,1.59E-03,0.00E+00,0.00E+00,,,4.30E-06,4.80E+11,1.75E+06,1.40E-05,5.16E-11,1.26E-03,0.00E+00,0.00E+00
,4.40E-06,4.88E+11,1.81E+06,1.42E-05,5.33E-11,1.64E-03,0.00E+00,0.00E+00,,,4.40E-06,4.83E+11,1.80E+06,1.41E-05,5.30E-11,1.30E-03,0.00E+00,0.00E+00
,4.50E-06,4.91E+11,1.86E+06,1.43E-05,5.47E-11,1.69E-03,0.00E+00,0.00E+00,,,4.50E-06,4.86E+11,1.85E+06,1.42E-05,5.44E-11,1.33E-03,0.00E+00,0.00E+00
,4.60E-06,4.94E+11,1.91E+06,1.44E-05,5.61E-11,1.74E-03,0.00E+00,0.00E+00,,,4.60E-06,4.89E+11,1.90E+06,1.43E-05,5.58E-11,1.37E-03,0.00E+00,0.00E+00
,4.70E-06,4.97E+11,1.96E+06,1.45E-05,5.76E-11,1.79E-03,0.00E+00,0.00E+00,,,4.70E-06,4.92E+11,1.95E+06,1.44E-05,5.72E-11,1.40E-03,0.00E+00,0.00E+00
,4.80E-06,5.01E+11,2.01E+06,1.46E-05,5.90E-11,1.84E-03,0.00E+00,0.00E+00,,,4.80E-06,4.96E+11,2.00E+06,1.44E-05,5.87E-11,1.44E-03,0.00E+00,0.00E+00
,4.90E-06,5.04E+11,2.06E+06,1.47E-05,6.05E-11,1.89E-03,0.00E+00,0.00E+00,,,4.90E-06,4.99E+11,2.04E+06,1.45E-05,6.01E-11,1.47E-03,0.00E+00,0.00E+00
,5.00E-06,5.07E+11,2.11E+06,1.48E-05,6.20E-11,1.94E-03,0.00E+00,0.00E+00,,,5.00E-06,5.02E+11,2.09E+06,1.46E-05,6.16E-11,1.51E-03,0.00E+00,0.00E+00
,5.10E-06,5.11E+11,2.16E+06,1.49E-05,6.35E-11,1.99E-03,0.00E+00,0.00E+00,,,5.10E-06,5.05E+11,2.15E+06,1.47E-05,6.31E-11,1.54E-03,0.00E+00,0.00E+00
,5.20E-06,5.14E+11,2.21E+06,1.50E-05,6.50E-11,2.04E-03,0.00E+00,0.00E+00,,,5.20E-06,5.08E+11,2.20E+06,1.48E-05,6.45E-11,1.58E-03,0.00E+00,0.00E+00
,5.30E-06,5.17E+11,2.26E+06,1.51E-05,6.65E-11,2.09E-03,0.00E+00,0.00E+00,,,5.30E-06,5.11E+11,2.25E+06,1.49E-05,6.60E-11,1.62E-03,0.00E+00,0.00E+00
,5.40E-06,5.20E+11,2.31E+06,1.52E-05,6.80E-11,2.15E-03,0.00E+00,0.00E+00,,,5.40E-06,5.15E+11,2.30E+06,1.50E-05,6.75E-11,1.65E-03,0.00E+00,0.00E+00
,5.50E-06,5.24E+11,2.37E+06,1.53E-05,6.95E-11,2.20E-03,0.00E+00,0.00E+00,,,5.50E-06,5.18E+11,2.35E+06,1.51E-05,6.90E-11,1.69E-03,0.00E+00,0.00E+00
,5.60E-06,5.27E+11,2.42E+06,1.54E-05,7.10E-11,2.25E-03,0.00E+00,0.00E+00,,,5.60E-06,5.21E+11,2.40E+06,1.52E-05,7.05E-11,1.73E-03,0.00E+00,0.00E+00
,5.70E-06,5.30E+11,2.47E+06,1.55E-05,7.26E-11,2.31E-03,0.00E+00,0.00E+00,,,5.70E-06,5.24E+11,2.45E+06,1.53E-05,7.21E-11,1.76E-03,0.00E+00,0.00E+00
,5.80E-06,5.34E+11,2.52E+06,1.56E-05,7.41E-11,2.36E-03,0.00E+00,0.00E+00,,,5.80E-06,5.27E+11,2.51E+06,1.54E-05,7.36E-11,1.80E-03,0.00E+00,0.00E+00
,5.90E-06,5.37E+11,2.58E+06,1.57E-05,7.57E-11,2.41E-03,0.00E+00,0.00E+00,,,5.90E-06,5.30E+11,2.56E+06,1.55E-05,7.51E-11,1.84E-03,0.00E+00,0.00E+00
,6.00E-06,5.40E+11,2.63E+06,1.57E-05,7.72E-11,2.47E-03,0.00E+00,0.00E+00,,,6.00E-06,5.34E+11,2.61E+06,1.56E-05,7.67E-11,1.87E-03,0.00E+00,0.00E+00
,6.10E-06,5.43E+11,2.69E+06,1.58E-05,7.88E-11,2.52E-03,0.00E+00,0.00E+00,,,6.10E-06,5.37E+11,2.67E+06,1.57E-05,7.82E-11,1.91E-03,0.00E+00,0.00E+00
,6.20E-06,5.47E+11,2.74E+06,1.59E-05,8.04E-11,2.58E-03,0.00E+00,0.00E+00,,,6.20E-06,5.40E+11,2.72E+06,1.57E-05,7.98E-11,1.95E-03,0.00E+00,0.00E+00
,6.30E-06,5.50E+11,2.80E+06,1.60E-05,8.20E-11,2.63E-03,0.00E+00,0.00E+00,,,6.30E-06,5.43E+11,2.77E+06,1.58E-05,8.14E-11,1.99E-03,0.00E+00,0.00E+00
,6.40E-06,5.53E+11,2.85E+06,1.61E-05,8.36E-11,2.69E-03,0.00E+00,0.00E+00,,,6.40E-06,5.46E+11,2.83E+06,1.59E-05,8.30E-11,2.02E-03,0.00E+00,0.00E+00
,6.50E-06,5.57E+11,2.91E+06,1.62E-05,8.52E-11,2.74E-03,0.00E+00,0.00E+00,,,6.50E-06,5.50E+11,2.88E+06,1.60E-05,8.46E-11,2.06E-03,0.00E+00,0.00E+00
,6.60E-06,5.60E+11,2.96E+06,1.63E-05,8.69E-11,2.80E-03,0.00E+00,0.00E+00,,,6.60E-06,5.53E+11,2.94E+06,1.61E-05,8.62E-11,2.10E-03,0.00E+00,0.00E+00
,6.70E-06,5.63E+11,3.02E+06,1.64E-05,8.85E-11,2.85E-03,0.00E+00,0.00E+00,,,6.70E-06,5.56E+11,2.99E+06,1.62E-05,8.78E-11,2.14E-03,0.00E+00,0.00E+00
,6.80E-06,5.66E+11,3.07E+06,1.65E-05,9.02E-11,2.91E-03,0.00E+00,0.00E+00,,,6.80E-06,5.59E+11,3.05E+06,1.63E-05,8.94E-11,2.17E-03,0.00E+00,0.00E+00
