PKTESTK6,Time,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback,,RHOPK5, ,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback
gen=303,(s),(/sec),,(MW),(MW-s),,,($),,,(s),(/sec),,(MW),(MW-s),,,($)
,8.40E-02,8.08E+11,6.19E+10,2.35E-05,1.81E-06,5.42E-03,0.00E+00,0.00E+00,,,8.40E-02,6.87E+11,5.62E+10,2.00E-05,1.64E-06,4.13E-03,0.00E+00,0.00E+00
,9.60E-02,8.30E+11,7.17E+10,2.42E-05,2.09E-06,5.51E-03,0.00E+00,0.00E+00,,,9.60E-02,6.96E+11,6.45E+10,2.03E-05,1.88E-06,4.22E-03,0.00E+00,0.00E+00
,1.08E-01,8.54E+11,8.19E+10,2.49E-05,2.39E-06,5.60E-03,0.00E+00,0.00E+00,,,1.08E-01,7.05E+11,7.29E+10,2.06E-05,2.13E-06,4.32E-03,0.00E+00,0.00E+00
,1.20E-01,8.78E+11,9.22E+10,2.56E-05,2.69E-06,5.68E-03,0.00E+00,0.00E+00,,,1.20E-01,7.15E+11,8.15E+10,2.09E-05,2.38E-06,4.42E-03,0.00E+00,0.00E+00
,1.32E-01,9.03E+11,1.03E+11,2.63E-05,3.00E-06,5.78E-03,0.00E+00,0.00E+00,,,1.32E-01,7.26E+11,9.01E+10,2.12E-05,2.63E-06,4.52E-03,0.00E+00,0.00E+00
,1.44E-01,9.30E+11,1.14E+11,2.71E-05,3.32E-06,5.87E-03,0.00E+00,0.00E+00,,,1.44E-01,7.39E+11,9.89E+10,2.15E-05,2.88E-06,4.63E-03,0.00E+00,0.00E+00
,1.56E-01,9.58E+11,1.25E+11,2.79E-05,3.65E-06,5.96E-03,0.00E+00,0.00E+00,,,1.56E-01,7.51E+11,1.08E+11,2.19E-05,3.14E-06,4.73E-03,0.00E+00,0.00E+00
,1.68E-01,9.87E+11,1.37E+11,2.88E-05,3.99E-06,6.06E-03,0.00E+00,0.00E+00,,,1.68E-01,7.66E+11,1.17E+11,2.23E-05,3.41E-06,4.84E-03,0.00E+00,0.00E+00
,1.80E-01,1.02E+12,1.49E+11,2.97E-05,4.34E-06,6.15E-03,0.00E+00,0.00E+00,,,1.80E-01,7.81E+11,1.26E+11,2.28E-05,3.68E-06,4.95E-03,0.00E+00,0.00E+00
,1.92E-01,1.05E+12,1.61E+11,3.05E-05,4.70E-06,6.25E-03,0.00E+00,0.00E+00,,,1.92E-01,7.97E+11,1.36E+11,2.33E-05,3.96E-06,5.05E-03,0.00E+00,0.00E+00
,2.04E-01,1.08E+12,1.74E+11,3.15E-05,5.08E-06,6.35E-03,0.00E+00,0.00E+00,,,2.04E-01,8.15E+11,1.45E+11,2.38E-05,4.24E-06,5.16E-03,0.00E+00,0.00E+00
,2.16E-01,1.12E+12,1.87E+11,3.26E-05,5.46E-06,6.45E-03,0.00E+00,0.00E+00,,,2.16E-01,8.34E+11,1.55E+11,2.43E-05,4.53E-06,5.28E-03,0.00E+00,0.00E+00
,2.28E-01,1.15E+12,2.01E+11,3.37E-05,5.86E-06,6.55E-03,0.00E+00,0.00E+00,,,2.28E-01,8.54E+11,1.65E+11,2.49E-05,4.82E-06,5.39E-03,0.00E+00,0.00E+00
,2.40E-01,1.19E+12,2.15E+11,3.48E-05,6.27E-06,6.65E-03,0.00E+00,0.00E+00,,,2.40E-01,8.76E+11,1.76E+11,2.55E-05,5.13E-06,5.50E-03,0.00E+00,0.00E+00
,2.52E-01,1.23E+12,2.30E+11,3.60E-05,6.69E-06,6.75E-03,0.00E+00,0.00E+00,,,2.52E-01,8.98E+11,1.86E+11,2.62E-05,5.44E-06,5.62E-03,0.00E+00,0.00E+00
,2.64E-01,1.28E+12,2.45E+11,3.72E-05,7.13E-06,6.85E-03,0.00E+00,0.00E+00,,,2.64E-01,9.22E+11,1.97E+11,2.69E-05,5.75E-06,5.73E-03,0.00E+00,0.00E+00
,2.76E-01,1.32E+12,2.60E+11,3.86E-05,7.59E-06,6.96E-03,0.00E+00,0.00E+00,,,2.76E-01,9.47E+11,2.09E+11,2.76E-05,6.08E-06,5.85E-03,0.00E+00,0.00E+00
,2.88E-01,1.37E+12,2.76E+11,3.99E-05,8.06E-06,7.07E-03,0.00E+00,0.00E+00,,,2.88E-01,9.74E+11,2.20E+11,2.84E-05,6.42E-06,5.97E-03,0.00E+00,0.00E+00
,3.00E-01,1.42E+12,2.93E+11,4.14E-05,8.55E-06,7.17E-03,0.00E+00,0.00E+00,,,3.00E-01,1.00E+12,2.32E+11,2.93E-05,6.76E-06,6.09E-03,0.00E+00,0.00E+00
,3.12E-01,1.47E+12,3.10E+11,4.30E-05,9.05E-06,7.28E-03,0.00E+00,0.00E+00,,,3.12E-01,1.03E+12,2.44E+11,3.01E-05,7.12E-06,6.21E-03,0.00E+00,0.00E+00
,3.24E-01,1.53E+12,3.28E+11,4.46E-05,9.58E-06,7.39E-03,0.00E+00,0.00E+00,,,3.24E-01,1.07E+12,2.57E+11,3.11E-05,7.49E-06,6.33E-03,0.00E+00,0.00E+00
,3.36E-01,1.59E+12,3.47E+11,4.64E-05,1.01E-05,7.50E-03,0.00E+00,0.00E+00,,,3.36E-01,1.10E+12,2.70E+11,3.21E-05,7.87E-06,6.45E-03,0.00E+00,0.00E+00
,3.48E-01,1.65E+12,3.67E+11,4.82E-05,1.07E-05,7.61E-03,0.00E+00,0.00E+00,,,3.48E-01,1.14E+12,2.83E+11,3.32E-05,8.26E-06,6.58E-03,0.00E+00,0.00E+00
,3.60E-01,1.72E+12,3.87E+11,5.02E-05,1.13E-05,7.73E-03,0.00E+00,0.00E+00,,,3.60E-01,1.18E+12,2.97E+11,3.43E-05,8.66E-06,6.70E-03,0.00E+00,0.00E+00
,3.72E-01,1.80E+12,4.08E+11,5.24E-05,1.19E-05,7.84E-03,0.00E+00,0.00E+00,,,3.72E-01,1.22E+12,3.11E+11,3.55E-05,9.08E-06,6.83E-03,0.00E+00,0.00E+00
,3.84E-01,1.87E+12,4.30E+11,5.46E-05,1.25E-05,7.96E-03,0.00E+00,0.00E+00,,,3.84E-01,1.26E+12,3.26E+11,3.68E-05,9.52E-06,6.96E-03,0.00E+00,0.00E+00
,3.96E-01,1.95E+12,4.53E+11,5.70E-05,1.32E-05,8.08E-03,0.00E+00,0.00E+00,,,3.96E-01,1.31E+12,3.42E+11,3.82E-05,9.97E-06,7.09E-03,0.00E+00,0.00E+00
,4.08E-01,2.04E+12,4.77E+11,5.95E-05,1.39E-05,8.20E-03,0.00E+00,0.00E+00,,,4.08E-01,1.36E+12,3.58E+11,3.96E-05,1.04E-05,7.23E-03,0.00E+00,0.00E+00
,4.20E-01,2.14E+12,5.02E+11,6.23E-05,1.46E-05,8.32E-03,0.00E+00,0.00E+00,,,4.20E-01,1.41E+12,3.74E+11,4.12E-05,1.09E-05,7.36E-03,0.00E+00,0.00E+00
,4.32E-01,2.24E+12,5.28E+11,6.52E-05,1.54E-05,8.44E-03,0.00E+00,0.00E+00,,,4.32E-01,1.47E+12,3.92E+11,4.29E-05,1.14E-05,7.50E-03,0.00E+00,0.00E+00
,4.44E-01,2.34E+12,5.56E+11,6.84E-05,1.62E-05,8.56E-03,0.00E+00,0.00E+00,,,4.44E-01,1.53E+12,4.10E+11,4.47E-05,1.19E-05,7.63E-03,0.00E+00,0.00E+00
,4.56E-01,2.46E+12,5.85E+11,7.17E-05,1.70E-05,8.69E-03,0.00E+00,0.00E+00,,,4.56E-01,1.60E+12,4.29E+11,4.66E-05,1.25E-05,7.77E-03,0.00E+00,0.00E+00
,4.68E-01,2.58E+12,6.15E+11,7.53E-05,1.79E-05,8.81E-03,0.00E+00,0.00E+00,,,4.68E-01,1.67E+12,4.48E+11,4.86E-05,1.31E-05,7.91E-03,0.00E+00,0.00E+00
,4.80E-01,2.72E+12,6.47E+11,7.92E-05,1.89E-05,8.94E-03,0.00E+00,0.00E+00,,,4.80E-01,1.74E+12,4.69E+11,5.08E-05,1.37E-05,8.05E-03,0.00E+00,0.00E+00
,4.92E-01,2.86E+12,6.80E+11,8.34E-05,1.98E-05,9.07E-03,0.00E+00,0.00E+00,,,4.92E-01,1.82E+12,4.90E+11,5.31E-05,1.43E-05,8.20E-03,0.00E+00,0.00E+00
,5.04E-01,3.02E+12,7.15E+11,8.79E-05,2.09E-05,9.20E-03,0.00E+00,0.00E+00,,,5.04E-01,1.91E+12,5.12E+11,5.56E-05,1.49E-05,8.34E-03,0.00E+00,0.00E+00
,5.16E-01,3.18E+12,7.53E+11,9.28E-05,2.19E-05,9.34E-03,0.00E+00,0.00E+00,,,5.16E-01,2.00E+12,5.36E+11,5.83E-05,1.56E-05,8.49E-03,0.00E+00,0.00E+00
,5.28E-01,3.36E+12,7.92E+11,9.80E-05,2.31E-05,9.47E-03,0.00E+00,0.00E+00,,,5.28E-01,2.10E+12,5.60E+11,6.13E-05,1.63E-05,8.64E-03,0.00E+00,0.00E+00
,5.40E-01,3.55E+12,8.33E+11,1.04E-04,2.43E-05,9.61E-03,0.00E+00,0.00E+00,,,5.40E-01,2.21E+12,5.86E+11,6.44E-05,1.71E-05,8.79E-03,0.00E+00,0.00E+00
,5.52E-01,3.76E+12,8.77E+11,1.10E-04,2.56E-05,9.75E-03,0.00E+00,0.00E+00,,,5.52E-01,2.33E+12,6.13E+11,6.78E-05,1.79E-05,8.94E-03,0.00E+00,0.00E+00
,5.64E-01,3.99E+12,9.24E+11,1.16E-04,2.69E-05,9.89E-03,0.00E+00,0.00E+00,,,5.64E-01,2.45E+12,6.42E+11,7.15E-05,1.87E-05,9.10E-03,0.00E+00,0.00E+00
,5.76E-01,4.24E+12,9.73E+11,1.24E-04,2.84E-05,1.00E-02,0.00E+00,0.00E+00,,,5.76E-01,2.59E+12,6.72E+11,7.55E-05,1.96E-05,9.25E-03,0.00E+00,0.00E+00
,5.88E-01,4.51E+12,1.03E+12,1.31E-04,2.99E-05,1.02E-02,0.00E+00,0.00E+00,,,5.88E-01,2.74E+12,7.04E+11,7.98E-05,2.05E-05,9.41E-03,0.00E+00,0.00E+00
,6.00E-01,4.80E+12,1.08E+12,1.40E-04,3.15E-05,1.03E-02,0.00E+00,0.00E+00,,,6.00E-01,2.90E+12,7.38E+11,8.44E-05,2.15E-05,9.57E-03,0.00E+00,0.00E+00
,6.12E-01,5.11E+12,1.14E+12,1.49E-04,3.33E-05,1.05E-02,0.00E+00,0.00E+00,,,6.12E-01,3.07E+12,7.74E+11,8.95E-05,2.26E-05,9.73E-03,0.00E+00,0.00E+00
,6.24E-01,5.46E+12,1.20E+12,1.59E-04,3.51E-05,1.06E-02,0.00E+00,0.00E+00,,,6.24E-01,3.26E+12,8.12E+11,9.50E-05,2.37E-05,9.90E-03,0.00E+00,0.00E+00
,6.36E-01,5.83E+12,1.27E+12,1.70E-04,3.71E-05,1.08E-02,0.00E+00,0.00E+00,,,6.36E-01,3.46E+12,8.52E+11,1.01E-04,2.48E-05,1.01E-02,0.00E+00,0.00E+00
,6.48E-01,6.24E+12,1.34E+12,1.82E-04,3.92E-05,1.09E-02,0.00E+00,0.00E+00,,,6.48E-01,3.69E+12,8.95E+11,1.08E-04,2.61E-05,1.02E-02,0.00E+00,0.00E+00
,6.60E-01,6.68E+12,1.42E+12,1.95E-04,4.15E-05,1.11E-02,0.00E+00,0.00E+00,,,6.60E-01,3.93E+12,9.41E+11,1.15E-04,2.74E-05,1.04E-02,0.00E+00,0.00E+00
,6.72E-01,7.17E+12,1.50E+12,2.09E-04,4.39E-05,1.12E-02,0.00E+00,0.00E+00,,,6.72E-01,4.20E+12,9.90E+11,1.23E-04,2.89E-05,1.06E-02,0.00E+00,0.00E+00
,6.84E-01,7.71E+12,1.59E+12,2.25E-04,4.65E-05,1.14E-02,0.00E+00,0.00E+00,,,6.84E-01,4.50E+12,1.04E+12,1.31E-04,3.04E-05,1.07E-02,0.00E+00,0.00E+00
,6.96E-01,8.30E+12,1.69E+12,2.42E-04,4.93E-05,1.16E-02,0.00E+00,0.00E+00,,,6.96E-01,4.82E+12,1.10E+12,1.41E-04,3.20E-05,1.09E-02,0.00E+00,0.00E+00
,7.08E-01,8.94E+12,1.79E+12,2.61E-04,5.23E-05,1.17E-02,0.00E+00,0.00E+00,,,7.08E-01,5.17E+12,1.16E+12,1.51E-04,3.38E-05,1.11E-02,0.00E+00,0.00E+00
,7.20E-01,9.65E+12,1.91E+12,2.81E-04,5.56E-05,1.19E-02,0.00E+00,0.00E+00,,,7.20E-01,5.56E+12,1.22E+12,1.62E-04,3.56E-05,1.13E-02,0.00E+00,0.00E+00
,7.32E-01,1.04E+13,2.03E+12,3.04E-04,5.91E-05,1.21E-02,0.00E+00,0.00E+00,,,7.32E-01,5.99E+12,1.29E+12,1.75E-04,3.77E-05,1.15E-02,0.00E+00,0.00E+00
,7.44E-01,1.13E+13,2.16E+12,3.29E-04,6.29E-05,1.22E-02,0.00E+00,0.00E+00,,,7.44E-01,6.47E+12,1.37E+12,1.89E-04,3.98E-05,1.17E-02,0.00E+00,0.00E+00
,7.56E-01,1.23E+13,2.30E+12,3.57E-04,6.70E-05,1.24E-02,0.00E+00,0.00E+00,,,7.56E-01,6.99E+12,1.45E+12,2.04E-04,4.22E-05,1.18E-02,0.00E+00,0.00E+00
,7.68E-01,1.33E+13,2.45E+12,3.88E-04,7.15E-05,1.26E-02,0.00E+00,0.00E+00,,,7.68E-01,7.57E+12,1.53E+12,2.21E-04,4.47E-05,1.20E-02,0.00E+00,0.00E+00
,7.80E-01,1.45E+13,2.62E+12,4.22E-04,7.63E-05,1.28E-02,0.00E+00,0.00E+00,,,7.80E-01,8.22E+12,1.63E+12,2.40E-04,4.75E-05,1.22E-02,0.00E+00,0.00E+00
,7.92E-01,1.58E+13,2.80E+12,4.60E-04,8.16E-05,1.29E-02,0.00E+00,0.00E+00,,,7.92E-01,8.93E+12,1.73E+12,2.60E-04,5.05E-05,1.24E-02,0.00E+00,0.00E+00
,8.04E-01,1.72E+13,3.00E+12,5.03E-04,8.74E-05,1.31E-02,0.00E+00,0.00E+00,,,8.04E-01,9.73E+12,1.84E+12,2.84E-04,5.38E-05,1.26E-02,0.00E+00,0.00E+00
,8.16E-01,1.89E+13,3.21E+12,5.50E-04,9.37E-05,1.33E-02,0.00E+00,0.00E+00,,,8.16E-01,1.06E+13,1.97E+12,3.09E-04,5.73E-05,1.28E-02,0.00E+00,0.00E+00
,8.28E-01,2.06E+13,3.45E+12,6.02E-04,1.01E-04,1.35E-02,0.00E+00,0.00E+00,,,8.28E-01,1.16E+13,2.10E+12,3.38E-04,6.12E-05,1.30E-02,0.00E+00,0.00E+00
,8.40E-01,2.26E+13,3.71E+12,6.60E-04,1.08E-04,1.37E-02,0.00E+00,0.00E+00,,,8.40E-01,1.27E+13,2.25E+12,3.71E-04,6.55E-05,1.32E-02,0.00E+00,0.00E+00
,8.52E-01,2.49E+13,4.00E+12,7.26E-04,1.17E-04,1.39E-02,0.00E+00,0.00E+00,,,8.52E-01,1.39E+13,2.41E+12,4.07E-04,7.01E-05,1.34E-02,0.00E+00,0.00E+00
,8.64E-01,2.74E+13,4.31E+12,7.99E-04,1.26E-04,1.41E-02,0.00E+00,0.00E+00,,,8.64E-01,1.53E+13,2.58E+12,4.47E-04,7.53E-05,1.37E-02,0.00E+00,0.00E+00
,8.76E-01,3.02E+13,4.66E+12,8.81E-04,1.36E-04,1.43E-02,0.00E+00,0.00E+00,,,8.76E-01,1.69E+13,2.77E+12,4.93E-04,8.09E-05,1.39E-02,0.00E+00,0.00E+00
,8.88E-01,3.34E+13,5.04E+12,9.74E-04,1.47E-04,1.45E-02,0.00E+00,0.00E+00,,,8.88E-01,1.87E+13,2.99E+12,5.44E-04,8.71E-05,1.41E-02,0.00E+00,0.00E+00
,9.00E-01,3.70E+13,5.46E+12,1.08E-03,1.59E-04,1.47E-02,0.00E+00,0.00E+00,,,9.00E-01,2.06E+13,3.22E+12,6.02E-04,9.40E-05,1.43E-02,0.00E+00,0.00E+00
,9.12E-01,4.10E+13,5.93E+12,1.20E-03,1.73E-04,1.49E-02,0.00E+00,0.00E+00,,,9.12E-01,2.29E+13,3.48E+12,6.68E-04,1.02E-04,1.45E-02,0.00E+00,0.00E+00
,9.24E-01,4.55E+13,6.45E+12,1.33E-03,1.88E-04,1.51E-02,0.00E+00,0.00E+00,,,9.24E-01,2.54E+13,3.77E+12,7.41E-04,1.10E-04,1.48E-02,0.00E+00,0.00E+00
,9.36E-01,5.07E+13,7.02E+12,1.48E-03,2.05E-04,1.53E-02,0.00E+00,0.00E+00,,,9.36E-01,2.83E+13,4.10E+12,8.25E-04,1.19E-04,1.50E-02,0.00E+00,0.00E+00
,9.48E-01,5.65E+13,7.67E+12,1.65E-03,2.24E-04,1.55E-02,0.00E+00,0.00E+00,,,9.48E-01,3.16E+13,4.46E+12,9.21E-04,1.30E-04,1.52E-02,0.00E+00,0.00E+00
,9.60E-01,6.31E+13,8.38E+12,1.84E-03,2.44E-04,1.58E-02,0.00E+00,0.00E+00,,,9.60E-01,3.53E+13,4.86E+12,1.03E-03,1.42E-04,1.55E-02,0.00E+00,0.00E+00
,9.72E-01,7.06E+13,9.18E+12,2.06E-03,2.68E-04,1.60E-02,0.00E+00,0.00E+00,,,9.72E-01,3.96E+13,5.31E+12,1.15E-03,1.55E-04,1.57E-02,0.00E+00,0.00E+00
,9.84E-01,7.91E+13,1.01E+13,2.31E-03,2.94E-04,1.62E-02,0.00E+00,0.00E+00,,,9.84E-01,4.44E+13,5.81E+12,1.29E-03,1.69E-04,1.60E-02,0.00E+00,0.00E+00
,9.96E-01,8.88E+13,1.11E+13,2.59E-03,3.23E-04,1.65E-02,0.00E+00,0.00E+00,,,9.96E-01,5.00E+13,6.38E+12,1.46E-03,1.86E-04,1.62E-02,0.00E+00,0.00E+00
,1.01E+00,9.99E+13,1.22E+13,2.91E-03,3.56E-04,1.67E-02,0.00E+00,0.00E+00,,,1.01E+00,5.64E+13,7.01E+12,1.64E-03,2.05E-04,1.65E-02,0.00E+00,0.00E+00
,1.02E+00,1.13E+14,1.35E+13,3.28E-03,3.94E-04,1.69E-02,0.00E+00,0.00E+00,,,1.02E+00,6.37E+13,7.74E+12,1.86E-03,2.26E-04,1.67E-02,0.00E+00,0.00E+00
,1.03E+00,1.27E+14,1.49E+13,3.71E-03,4.36E-04,1.72E-02,0.00E+00,0.00E+00,,,1.03E+00,7.22E+13,8.55E+12,2.10E-03,2.49E-04,1.70E-02,0.00E+00,0.00E+00
,1.04E+00,1.44E+14,1.66E+13,4.19E-03,4.83E-04,1.74E-02,0.00E+00,0.00E+00,,,1.04E+00,8.19E+13,9.48E+12,2.39E-03,2.76E-04,1.73E-02,0.00E+00,0.00E+00
,1.06E+00,1.63E+14,1.84E+13,4.75E-03,5.37E-04,1.77E-02,0.00E+00,0.00E+00,,,1.06E+00,9.32E+13,1.05E+13,2.72E-03,3.07E-04,1.75E-02,0.00E+00,0.00E+00
,1.07E+00,1.85E+14,2.05E+13,5.40E-03,5.98E-04,1.79E-02,0.00E+00,0.00E+00,,,1.07E+00,1.06E+14,1.17E+13,3.10E-03,3.42E-04,1.78E-02,0.00E+00,0.00E+00
,1.08E+00,2.10E+14,2.29E+13,6.14E-03,6.67E-04,1.82E-02,0.00E+00,0.00E+00,,,1.08E+00,1.21E+14,1.31E+13,3.54E-03,3.82E-04,1.81E-02,0.00E+00,0.00E+00
,1.09E+00,2.40E+14,2.56E+13,6.99E-03,7.45E-04,1.85E-02,0.00E+00,0.00E+00,,,1.09E+00,1.39E+14,1.47E+13,4.06E-03,4.27E-04,1.84E-02,0.00E+00,0.00E+00
,1.10E+00,2.74E+14,2.86E+13,7.98E-03,8.35E-04,1.87E-02,0.00E+00,0.00E+00,,,1.10E+00,1.60E+14,1.64E+13,4.66E-03,4.80E-04,1.86E-02,0.00E+00,0.00E+00
,1.12E+00,3.13E+14,3.22E+13,9.13E-03,9.38E-04,1.90E-02,0.00E+00,0.00E+00,,,1.12E+00,1.84E+14,1.85E+13,5.36E-03,5.40E-04,1.89E-02,0.00E+00,0.00E+00
,1.13E+00,3.59E+14,3.62E+13,1.05E-02,1.06E-03,1.93E-02,0.00E+00,0.00E+00,,,1.13E+00,2.12E+14,2.09E+13,6.18E-03,6.09E-04,1.92E-02,0.00E+00,0.00E+00
,1.14E+00,4.12E+14,4.08E+13,1.20E-02,1.19E-03,1.96E-02,0.00E+00,0.00E+00,,,1.14E+00,2.45E+14,2.36E+13,7.14E-03,6.89E-04,1.95E-02,0.00E+00,0.00E+00
,1.15E+00,4.74E+14,4.61E+13,1.38E-02,1.35E-03,1.99E-02,0.00E+00,0.00E+00,,,1.15E+00,2.84E+14,2.68E+13,8.28E-03,7.81E-04,1.98E-02,0.00E+00,0.00E+00
,1.16E+00,5.46E+14,5.23E+13,1.59E-02,1.52E-03,2.02E-02,0.00E+00,0.00E+00,,,1.16E+00,3.30E+14,3.05E+13,9.61E-03,8.89E-04,2.02E-02,0.00E+00,0.00E+00
,1.18E+00,6.31E+14,5.93E+13,1.84E-02,1.73E-03,2.05E-02,0.00E+00,0.00E+00,,,1.18E+00,3.83E+14,3.48E+13,1.12E-02,1.01E-03,2.05E-02,0.00E+00,0.00E+00
,1.19E+00,7.30E+14,6.75E+13,2.13E-02,1.97E-03,2.08E-02,0.00E+00,0.00E+00,,,1.19E+00,4.47E+14,3.97E+13,1.30E-02,1.16E-03,2.08E-02,0.00E+00,0.00E+00
,1.20E+00,8.46E+14,7.69E+13,2.47E-02,2.24E-03,2.11E-02,0.00E+00,0.00E+00,,,1.20E+00,5.23E+14,4.56E+13,1.52E-02,1.33E-03,2.11E-02,0.00E+00,0.00E+00
,1.20E+00,8.57E+14,7.78E+13,2.50E-02,2.27E-03,2.10E-02,0.00E+00,0.00E+00,,,1.20E+00,5.30E+14,4.61E+13,1.55E-02,1.34E-03,2.11E-02,0.00E+00,0.00E+00
,1.20E+00,8.68E+14,7.87E+13,2.53E-02,2.29E-03,2.10E-02,0.00E+00,0.00E+00,,,1.20E+00,5.37E+14,4.66E+13,1.57E-02,1.36E-03,2.11E-02,0.00E+00,0.00E+00
,1.20E+00,8.80E+14,7.95E+13,2.57E-02,2.32E-03,2.10E-02,0.00E+00,0.00E+00,,,1.20E+00,5.44E+14,4.72E+13,1.59E-02,1.38E-03,2.11E-02,0.00E+00,0.00E+00
,1.20E+00,8.91E+14,8.04E+13,2.60E-02,2.35E-03,2.10E-02,0.00E+00,0.00E+00,,,1.20E+00,5.52E+14,4.77E+13,1.61E-02,1.39E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,9.03E+14,8.13E+13,2.63E-02,2.37E-03,2.09E-02,0.00E+00,0.00E+00,,,1.21E+00,5.59E+14,4.83E+13,1.63E-02,1.41E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,9.15E+14,8.22E+13,2.67E-02,2.40E-03,2.09E-02,0.00E+00,0.00E+00,,,1.21E+00,5.67E+14,4.88E+13,1.65E-02,1.42E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,9.27E+14,8.31E+13,2.70E-02,2.42E-03,2.09E-02,0.00E+00,0.00E+00,,,1.21E+00,5.75E+14,4.94E+13,1.68E-02,1.44E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,9.39E+14,8.41E+13,2.74E-02,2.45E-03,2.08E-02,0.00E+00,0.00E+00,,,1.21E+00,5.83E+14,5.00E+13,1.70E-02,1.46E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,9.51E+14,8.50E+13,2.77E-02,2.48E-03,2.08E-02,0.00E+00,0.00E+00,,,1.21E+00,5.91E+14,5.06E+13,1.72E-02,1.47E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,9.63E+14,8.60E+13,2.81E-02,2.51E-03,2.08E-02,0.00E+00,0.00E+00,,,1.21E+00,5.99E+14,5.12E+13,1.75E-02,1.49E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,9.76E+14,8.69E+13,2.85E-02,2.54E-03,2.08E-02,0.00E+00,0.00E+00,,,1.21E+00,6.07E+14,5.18E+13,1.77E-02,1.51E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,9.88E+14,8.79E+13,2.88E-02,2.56E-03,2.07E-02,0.00E+00,0.00E+00,,,1.21E+00,6.15E+14,5.24E+13,1.79E-02,1.53E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,1.00E+15,8.89E+13,2.92E-02,2.59E-03,2.07E-02,0.00E+00,0.00E+00,,,1.21E+00,6.24E+14,5.30E+13,1.82E-02,1.55E-03,2.11E-02,0.00E+00,0.00E+00
,1.21E+00,1.01E+15,8.99E+13,2.96E-02,2.62E-03,2.07E-02,0.00E+00,0.00E+00,,,1.21E+00,6.32E+14,5.36E+13,1.84E-02,1.56E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.03E+15,9.10E+13,3.00E-02,2.65E-03,2.06E-02,0.00E+00,0.00E+00,,,1.22E+00,6.41E+14,5.43E+13,1.87E-02,1.58E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.04E+15,9.20E+13,3.03E-02,2.68E-03,2.06E-02,0.00E+00,0.00E+00,,,1.22E+00,6.49E+14,5.49E+13,1.89E-02,1.60E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.05E+15,9.30E+13,3.07E-02,2.71E-03,2.06E-02,0.00E+00,0.00E+00,,,1.22E+00,6.58E+14,5.55E+13,1.92E-02,1.62E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.07E+15,9.41E+13,3.11E-02,2.74E-03,2.06E-02,0.00E+00,0.00E+00,,,1.22E+00,6.67E+14,5.62E+13,1.95E-02,1.64E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.08E+15,9.52E+13,3.15E-02,2.78E-03,2.05E-02,0.00E+00,0.00E+00,,,1.22E+00,6.76E+14,5.69E+13,1.97E-02,1.66E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.09E+15,9.63E+13,3.19E-02,2.81E-03,2.05E-02,0.00E+00,0.00E+00,,,1.22E+00,6.86E+14,5.76E+13,2.00E-02,1.68E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.11E+15,9.74E+13,3.23E-02,2.84E-03,2.05E-02,0.00E+00,0.00E+00,,,1.22E+00,6.95E+14,5.83E+13,2.03E-02,1.70E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.12E+15,9.85E+13,3.27E-02,2.87E-03,2.05E-02,0.00E+00,0.00E+00,,,1.22E+00,7.04E+14,5.90E+13,2.05E-02,1.72E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.14E+15,9.96E+13,3.31E-02,2.90E-03,2.04E-02,0.00E+00,0.00E+00,,,1.22E+00,7.14E+14,5.97E+13,2.08E-02,1.74E-03,2.11E-02,0.00E+00,0.00E+00
,1.22E+00,1.15E+15,1.01E+14,3.36E-02,2.94E-03,2.04E-02,0.00E+00,0.00E+00,,,1.22E+00,7.24E+14,6.04E+13,2.11E-02,1.76E-03,2.11E-02,0.00E+00,0.00E+00
,1.23E+00,1.17E+15,1.02E+14,3.40E-02,2.97E-03,2.04E-02,0.00E+00,0.00E+00,,,1.23E+00,7.33E+14,6.11E+13,2.14E-02,1.78E-03,2.11E-02,0.00E+00,0.00E+00
,1.23E+00,1.18E+15,1.03E+14,3.44E-02,3.01E-03,2.03E-02,0.00E+00,0.00E+00,,,1.23E+00,7.43E+14,6.19E+13,2.17E-02,1.80E-03,2.11E-02,0.00E+00,0.00E+00
